Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
6,ALL,Washington Sundar,IND,NOT_PLAYING,0
8.5,ALL,Hardik Pandya,IND,PLAYING,7
8,ALL,Axar Patel,IND,PLAYING,5
8,ALL,Ravindra Jadeja,IND,PLAYING,8
8.5,ALL,Mehidy Hasan Miraz,BAN,PLAYING,6
6.5,ALL,Rishad- Hossain,BAN,PLAYING,8
7.5,ALL,Mohammad Mahmudullah,BAN,NOT_PLAYING,0
7,WK,Rishabh Pant,IND,NOT_PLAYING,0
7.5,WK,Lokesh Rahul,IND,PLAYING,6
6.5,WK,Jaker Ali Anik,BAN,PLAYING,7
8,WK,Mushfiqur Rahim,BAN,PLAYING,5
8.5,BAT,Shubman Gill,IND,PLAYING,2
8,BAT,Shreyas Iyer,IND,PLAYING,4
9,BAT,Virat Kohli,IND,PLAYING,3
9,BAT,Rohit Sharma,IND,PLAYING,1
6,BAT,Mohammad Parvez Hossain-Emon,BAN,NOT_PLAYING,0
7,BAT,Tanzid Hasan,BAN,PLAYING,1
7.5,BAT,Tawhid Hridoy,BAN,PLAYING,4
8,BAT,Najmul Hossain Shanto,BAN,PLAYING,3
7,BAT,Soumya Sarkar,BAN,PLAYING,2
6.5,BOWL,Harshit Rana,IND,PLAYING,9
7.5,BOWL,Arshdeep Singh,IND,NOT_PLAYING,0
7,BOWL,Varun Chakravarthy,IND,NOT_PLAYING,0
8,BOWL,Kuldeep Yadav,IND,PLAYING,11
8.5,BOWL,Mohammed Shami,IND,PLAYING,10
6,BOWL,Nahid Rana,BAN,NOT_PLAYING,0
7,BOWL,Tanzim Sakib,BAN,PLAYING,9
7,BOWL,Nasum Ahmed,BAN,NOT_PLAYING,0
8,BOWL,Mustafizur Rahman,BAN,PLAYING,11
8.5,BOWL,Taskin Ahmed,BAN,PLAYING,10
