Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
7.5,ALL,Michael Bracewell,NZ,PLAYING,7
8,ALL,Agha Salman,PAK,PLAYING,5
8,ALL,Mitchell Santner,NZ,PLAYING,8
8,ALL,Glenn Phillips,NZ,PLAYING,6
6.5,ALL,Khushdil Shah,PAK,PLAYING,7
6.5,ALL,Faheem Ashraf,PAK,NOT_PLAYING,0
7.5,WK,Tom Latham,NZ,PLAYING,5
8,WK,Devon Conway,NZ,PLAYING,1
8.5,WK,Mohammad Rizwan,PAK,PLAYING,4
6,WK,Usman Khan,PAK,NOT_PLAYING,0
9,BAT,Kane Williamson,NZ,PLAYING,3
8.5,BAT,Babar Azam,PAK,PLAYING,2
6.5,BAT,Kamran Ghulam,PAK,NOT_PLAYING,0
7,BAT,Saud Shakeel,PAK,PLAYING,3
6.5,BAT,Mark Chapman,NZ,NOT_PLAYING,0
8.5,BAT,Daryl Mitchell,NZ,PLAYING,4
7,BAT,Will Young,NZ,PLAYING,2
8,BAT,Rachin Ravindra,NZ,NOT_PLAYING,0
8,BAT,Fakhar Zaman,PAK,PLAYING,1
6.5,BAT,Tayyab Tahir,PAK,PLAYING,6
6.5,BOWL,Jacob Duffy,NZ,NOT_PLAYING,0
8.5,BOWL,Matt Henry,NZ,PLAYING,10
6.5,BOWL,Kyle Jamieson,NZ,NOT_PLAYING,0
7.5,BOWL,Lockie Ferguson,NZ,NOT_PLAYING,0
6,BOWL,Nathan Smith,NZ,PLAYING,9
7,BOWL,Abrar Ahmed,PAK,PLAYING,11
9,BOWL,Shaheen Afridi,PAK,PLAYING,8
7,BOWL,Mohammad Hasnain,PAK,NOT_PLAYING,0
7.5,BOWL,Naseem Shah,PAK,PLAYING,9
8,BOWL,Haris Rauf,PAK,PLAYING,10
7,BOWL,William O'Rourke,NZ,PLAYING,11
