,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,,Team,Start Date,End Date
0,STR Binny,3,2,15.0,0,67,4,3/33,16.75,4.46,22.5,0,0,,India,2015-01-01,2015-02-01
1,Mohammed Shami,4,3,21.1,0,98,2,1/31,49.0,4.62,63.5,0,0,,India,2015-01-01,2015-02-01
2,AR Patel,4,3,27.3,1,116,2,1/39,58.0,4.21,82.5,0,0,,India,2015-01-01,2015-02-01
3,MM Sharma,1,1,10.0,1,36,2,2/36,18.0,3.6,30.0,0,0,,India,2015-01-01,2015-02-01
4,UT Yadav,2,2,16.0,1,97,2,2/55,48.5,6.06,48.0,0,0,,India,2015-01-01,2015-02-01
5,R Ashwin,1,1,9.0,0,54,1,1/54,54.0,6.0,54.0,0,0,,India,2015-01-01,2015-02-01
6,B Kumar,2,2,11.5,0,62,1,1/44,62.0,5.23,71.0,0,0,,India,2015-01-01,2015-02-01
7,RA Jadeja,2,1,9.5,0,62,0,,,6.3,,0,0,,India,2015-01-01,2015-02-01
8,SK Raina,4,2,3.0,0,31,0,,,10.33,,0,0,,India,2015-01-01,2015-02-01
9,S Dhawan,4,,,,,,,,,,,,,India,2015-01-01,2015-02-01
10,MS Dhoni,4,,,,,,,,,,,,,India,2015-01-01,2015-02-01
11,V Kohli,4,,,,,,,,,,,,,India,2015-01-01,2015-02-01
12,AM Rahane,4,,,,,,,,,,,,,India,2015-01-01,2015-02-01
13,AT Rayudu,3,,,,,,,,,,,,,India,2015-01-01,2015-02-01
14,I Sharma,1,,,,,,,,,,,,,India,2015-01-01,2015-02-01
15,RG Sharma,1,,,,,,,,,,,,,India,2015-01-01,2015-02-01
16,Bilawal Bhatti,1,1,8.0,0,51,1,1/51,51.0,6.37,48.0,0,0,,Pakistan,2015-01-01,2015-02-01
17,Mohammad Irfan,1,1,10.0,2,60,1,1/60,60.0,6.0,60.0,0,0,,Pakistan,2015-01-01,2015-02-01
18,Shahid Afridi,1,1,10.0,0,39,1,1/39,39.0,3.9,60.0,0,0,,Pakistan,2015-01-01,2015-02-01
