,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,,Team,Start Date,End Date
0,AM Rahane,4,4,1,146,73,48.66,213,68.54,0,1,0,8,2,,India,2015-01-01,2015-02-01
1,RG Sharma,1,1,0,138,138,138.0,139,99.28,1,0,0,9,4,,India,2015-01-01,2015-02-01
2,MS Dhoni,4,3,0,70,34,23.33,124,56.45,0,0,0,6,0,,India,2015-01-01,2015-02-01
3,AT Rayudu,3,3,0,58,23,19.33,94,61.7,0,0,0,5,1,,India,2015-01-01,2015-02-01
4,SK Raina,4,3,0,53,51,17.66,71,74.64,0,1,0,6,0,,India,2015-01-01,2015-02-01
5,STR Binny,3,2,0,51,44,25.5,67,76.11,0,0,0,4,2,,India,2015-01-01,2015-02-01
6,S Dhawan,4,4,0,49,38,12.25,87,56.32,0,0,0,4,0,,India,2015-01-01,2015-02-01
7,Mohammed Shami,4,3,1,28,25,14.0,28,100.0,0,0,0,3,1,,India,2015-01-01,2015-02-01
8,V Kohli,4,4,1,24,9,8.0,52,46.15,0,0,0,0,0,,India,2015-01-01,2015-02-01
9,R Ashwin,1,1,1,14,14,,20,70.0,0,0,0,0,0,,India,2015-01-01,2015-02-01
10,MM Sharma,1,1,1,7,7,,6,116.66,0,0,0,1,0,,India,2015-01-01,2015-02-01
11,RA Jadeja,2,1,0,5,5,5.0,9,55.55,0,0,0,0,0,,India,2015-01-01,2015-02-01
12,B Kumar,2,2,0,5,5,2.5,6,83.33,0,0,1,0,0,,India,2015-01-01,2015-02-01
13,AR Patel,4,3,0,1,1,0.33,8,12.5,0,0,2,0,0,,India,2015-01-01,2015-02-01
14,UT Yadav,2,1,1,0,0,,0,,0,0,0,0,0,,India,2015-01-01,2015-02-01
15,I Sharma,1,,,,,,,,,,,,,,India,2015-01-01,2015-02-01
16,Shahid Afridi,1,1,0,67,67,67.0,29,231.03,0,1,0,9,3,,Pakistan,2015-01-01,2015-02-01
17,Misbah-ul-Haq,1,1,0,58,58,58.0,87,66.66,0,1,0,4,2,,Pakistan,2015-01-01,2015-02-01
18,Haris Sohail,1,1,0,23,23,23.0,38,60.52,0,0,0,3,0,,Pakistan,2015-01-01,2015-02-01
19,Ahmed Shehzad,1,1,0,15,15,15.0,34,44.11,0,0,0,2,0,,Pakistan,2015-01-01,2015-02-01
20,Umar Akmal,1,1,0,13,13,13.0,25,52.0,0,0,0,2,0,,Pakistan,2015-01-01,2015-02-01
21,Younis Khan,1,1,0,9,9,9.0,26,34.61,0,0,0,1,0,,Pakistan,2015-01-01,2015-02-01
22,Ehsan Adil,1,1,0,6,6,6.0,8,75.0,0,0,0,1,0,,Pakistan,2015-01-01,2015-02-01
23,Sarfaraz Ahmed,1,1,0,5,5,5.0,12,41.66,0,0,0,0,0,,Pakistan,2015-01-01,2015-02-01
24,Mohammad Irfan,1,1,1,1,1,,8,12.5,0,0,0,0,0,,Pakistan,2015-01-01,2015-02-01
25,Bilawal Bhatti,1,1,0,0,0,0.0,2,0.0,0,0,1,0,0,,Pakistan,2015-01-01,2015-02-01
26,Mohammad Hafeez,1,1,0,0,0,0.0,5,0.0,0,0,1,0,0,,Pakistan,2015-01-01,2015-02-01
27,KS Williamson,5,5,0,295,103,59.0,339,87.02,1,2,0,23,3,,New Zealand,2015-01-01,2015-02-01
28,L Ronchi,8,6,2,279,170,69.75,190,146.84,1,0,1,21,13,,New Zealand,2015-01-01,2015-02-01
29,GD Elliott,6,6,3,258,104,86.0,280,92.14,1,1,0,20,3,,New Zealand,2015-01-01,2015-02-01
30,BB McCullum,7,7,0,249,117,35.57,205,121.46,1,1,1,31,10,,New Zealand,2015-01-01,2015-02-01
31,LRPL Taylor,7,7,1,231,96,38.5,328,70.42,0,2,0,17,2,,New Zealand,2015-01-01,2015-02-01
32,CJ Anderson,8,7,1,210,81,35.0,214,98.13,0,1,0,22,6,,New Zealand,2015-01-01,2015-02-01
33,MJ Guptill,8,8,1,163,66,23.28,220,74.09,0,1,3,18,4,,New Zealand,2015-01-01,2015-02-01
34,TWM Latham,5,5,0,91,42,18.2,147,61.9,0,0,0,12,0,,New Zealand,2015-01-01,2015-02-01
35,DL Vettori,5,4,1,52,35,17.33,45,115.55,0,0,0,8,0,,New Zealand,2015-01-01,2015-02-01
36,NL McCullum,5,2,1,38,25,38.0,73,52.05,0,0,0,3,0,,New Zealand,2015-01-01,2015-02-01
37,KD Mills,3,2,0,30,30,15.0,17,176.47,0,0,1,2,1,,New Zealand,2015-01-01,2015-02-01
