,Player,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,Team,Start Date,End Date
0,STR Binny,3,2,2,2,0,0.0,2,,1.0,,India,2015-01-01,2015-02-01
1,MS Dhoni,4,3,2,2,0,2.0,0,,0.666,,India,2015-01-01,2015-02-01
2,AT Rayudu,3,2,2,2,0,0.0,2,,1.0,,India,2015-01-01,2015-02-01
3,R Ashwin,1,1,1,1,0,0.0,1,,1.0,,India,2015-01-01,2015-02-01
4,S Dhawan,4,3,1,1,0,0.0,1,,0.333,,India,2015-01-01,2015-02-01
5,RA Jadeja,2,1,1,1,0,0.0,1,,1.0,,India,2015-01-01,2015-02-01
6,V Kohli,4,3,1,1,0,0.0,1,,0.333,,India,2015-01-01,2015-02-01
7,B Kumar,2,2,1,1,0,0.0,1,,0.5,,India,2015-01-01,2015-02-01
8,SK Raina,4,3,1,1,0,0.0,1,,0.333,,India,2015-01-01,2015-02-01
9,Mohammed Shami,4,3,0,0,0,0.0,0,0.0,0.0,,India,2015-01-01,2015-02-01
10,AR Patel,4,3,0,0,0,0.0,0,0.0,0.0,,India,2015-01-01,2015-02-01
11,AM Rahane,4,3,0,0,0,0.0,0,0.0,0.0,,India,2015-01-01,2015-02-01
12,MM Sharma,1,1,0,0,0,0.0,0,0.0,0.0,,India,2015-01-01,2015-02-01
13,RG Sharma,1,1,0,0,0,0.0,0,0.0,0.0,,India,2015-01-01,2015-02-01
14,UT Yadav,2,2,0,0,0,0.0,0,0.0,0.0,,India,2015-01-01,2015-02-01
15,I Sharma,1,,,,,,,,,,India,2015-01-01,2015-02-01
16,Ahmed Shehzad,1,1,1,1,0,0.0,1,,1.0,,Pakistan,2015-01-01,2015-02-01
17,Bilawal Bhatti,1,1,1,1,0,0.0,1,,1.0,,Pakistan,2015-01-01,2015-02-01
18,Sarfaraz Ahmed,1,1,1,1,0,1.0,0,,1.0,,Pakistan,2015-01-01,2015-02-01
19,Ehsan Adil,1,1,0,0,0,0.0,0,0.0,0.0,,Pakistan,2015-01-01,2015-02-01
20,Haris Sohail,1,1,0,0,0,0.0,0,0.0,0.0,,Pakistan,2015-01-01,2015-02-01
21,Misbah-ul-Haq,1,1,0,0,0,0.0,0,0.0,0.0,,Pakistan,2015-01-01,2015-02-01
