Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team
Aaron Hardie,41.8421052631579,47.89473684210527,47.98245614035088,6.5,ALL,Australia
Abrar Ahmed,3.442982456140351,79.29824561403508,49.29824561403508,7.0,BOWL,Pakistan
Adam Zampa,25.350877192982455,72.10526315789473,33.50877192982456,9.0,BOWL,Australia
Adil Rashid,30.570175438596486,55.43859649122807,46.22807017543859,8.5,BOWL,England
Agha Salman,53.333333333333336,49.473684210526315,63.7719298245614,8.0,ALL,Pakistan
Aiden Markram,84.69298245614034,40.52631578947368,58.94736842105263,8.0,ALL,South Africa
Alex Carey,59.82456140350877,44.3859649122807,94.64912280701753,7.0,WK,Australia
Arshdeep Singh,38.728070175438596,65.6140350877193,32.63157894736842,7.5,BOWL,India
Axar Patel,47.85087719298246,48.94736842105263,53.24561403508771,8.0,ALL,India
Azmatullah Omarzai,76.359649122807,47.54385964912281,37.45614035087719,8.0,ALL,Afghanistan
Babar Azam,87.89473684210525,44.3859649122807,50.61403508771929,8.5,BAT,Pakistan
Ben Duckett,81.57894736842105,44.3859649122807,52.807017543859644,8.0,BAT,England
Ben Dwarshuis,3.442982456140351,49.03508771929825,24.95614035087719,6.5,BOWL,Australia
Brydon Carse,43.070175438596486,53.33333333333333,54.56140350877193,7.0,BOWL,England
Cooper Connolly,6.7105263157894735,38.24561403508772,24.95614035087719,5.5,ALL,Australia
Daryl Mitchell,88.42105263157895,49.82456140350877,69.03508771929825,8.5,BAT,New Zealand
David Miller,83.28947368421052,44.3859649122807,65.96491228070175,7.5,BAT,South Africa
Devon Conway,83.68421052631578,44.3859649122807,66.84210526315789,8.0,WK,New Zealand
Faheem Ashraf,22.71929824561403,37.54385964912281,45.78947368421052,6.5,ALL,Pakistan
Fakhar Zaman,86.05263157894736,44.3859649122807,62.45614035087719,8.0,BAT,Pakistan
Fareed Ahmed Malik,18.201754385964907,48.42105263157894,27.368421052631575,7.0,BOWL,Afghanistan
FazalHaq Farooqi,6.798245614035086,52.4561403508772,29.122807017543856,8.0,BOWL,Afghanistan
Glenn Maxwell,81.35964912280701,55.96491228070175,65.52631578947368,8.5,ALL,Australia
Glenn Phillips,67.98245614035088,46.666666666666664,63.33333333333333,8.0,ALL,New Zealand
Gulbadin Naib,45.614035087719294,45.43859649122807,56.315789473684205,7.0,BOWL,Afghanistan
Gus Atkinson,43.99122807017544,48.24561403508772,30.21929824561403,7.0,BOWL,England
Hardik Pandya,68.33333333333333,61.754385964912274,46.66666666666666,8.5,ALL,India
Haris Rauf,17.587719298245613,65.96491228070174,41.40350877192982,8.0,BOWL,Pakistan
Harry Brook,82.80701754385964,44.3859649122807,31.31578947368421,7.0,BAT,England
Hashmatullah Shahidi,57.06140350877193,44.3859649122807,39.64912280701754,7.5,BAT,Afghanistan
Heinrich Klaasen,83.55263157894737,41.05263157894737,91.40350877192984,9.0,WK,South Africa
Ibrahim Zadran,79.03508771929825,44.3859649122807,51.052631578947356,8.0,BAT,Afghanistan
Ikram Alikhil,36.315789473684205,44.3859649122807,89.91228070175437,6.5,WK,Afghanistan
Jacob Duffy,7.63157894736842,55.08771929824561,24.95614035087719,6.5,BOWL,New Zealand
Jaker Ali Anik,64.07894736842105,44.3859649122807,74.64912280701755,6.5,WK,Bangladesh
Jamie Overton,37.017543859649116,51.666666666666664,24.95614035087719,6.5,ALL,England
Jamie Smith,58.68421052631578,44.3859649122807,81.84210526315789,6.0,WK,England
Joe Root,57.631578947368425,39.29824561403508,62.01754385964912,8.0,ALL,England
Jofra Archer,27.10526315789474,63.33333333333333,34.3859649122807,8.0,BOWL,England
Jos Buttler,79.25438596491227,44.3859649122807,98.859649122807,8.5,WK,England
Josh Inglis,61.052631578947356,44.3859649122807,95.7017543859649,7.5,WK,Australia
Kagiso Rabada,27.192982456140353,67.36842105263158,62.89473684210526,9.0,BOWL,South Africa
Kamran Ghulam,49.69298245614034,52.719298245614034,37.01754385964912,6.5,BAT,Pakistan
Kane Williamson,62.71929824561403,44.3859649122807,44.03508771929825,9.0,BAT,New Zealand
Keshav Maharaj,29.078947368421055,67.54385964912281,44.473684210526315,8.0,BOWL,South Africa
Khushdil Shah,48.59649122807018,48.94736842105263,56.754385964912274,6.5,ALL,Pakistan
Kuldeep Yadav,14.517543859649122,70.17543859649123,37.89473684210526,8.0,BOWL,India
Kyle Jamieson,27.061403508771924,53.1578947368421,32.19298245614034,6.5,BOWL,New Zealand
Liam Livingstone,78.55263157894737,39.122807017543856,55.87719298245614,7.0,ALL,England
Lokesh Rahul,82.98245614035088,44.3859649122807,97.45614035087719,7.5,WK,India
Lungi Ngidi,17.675438596491226,54.91228070175438,38.7719298245614,7.0,BOWL,South Africa
Marco Jansen,55.131578947368425,63.33333333333333,42.28070175438596,8.5,ALL,South Africa
Mark Chapman,58.859649122807014,44.3859649122807,35.701754385964904,6.5,BAT,New Zealand
Mark Wood,24.298245614035086,51.05263157894737,36.14035087719298,7.5,BOWL,England
Marnus Labuschagne,66.62280701754386,50.0,67.71929824561403,7.5,BAT,Australia
Matt Henry,11.754385964912279,65.08771929824562,53.68421052631578,8.5,BOWL,New Zealand
Matthew Short,58.46491228070175,40.526315789473685,58.07017543859649,7.0,ALL,Australia
Mehidy Hasan Miraz,50.570175438596486,57.01754385964912,57.19298245614034,8.5,ALL,Bangladesh
Michael Bracewell,53.201754385964904,54.3859649122807,47.54385964912281,7.5,ALL,New Zealand
Mitchell Santner,51.44736842105263,58.070175438596486,60.701754385964904,8.0,ALL,New Zealand
Mohammad Hasnain,28.289473684210527,54.73684210526316,35.263157894736835,7.0,BOWL,Pakistan
Mohammad Mahmudullah,70.35087719298245,47.719298245614034,55.43859649122807,7.5,ALL,Bangladesh
Mohammad Nabi,62.5877192982456,58.07017543859649,64.64912280701753,8.0,ALL,Afghanistan
Mohammad Rizwan,77.63157894736841,44.3859649122807,97.89473684210526,8.5,WK,Pakistan
Mohammed Shami,24.429824561403507,70.7017543859649,40.08771929824561,8.5,BOWL,India
Mushfiqur Rahim,60.48245614035088,44.3859649122807,97.28070175438597,8.0,WK,Bangladesh
Mustafizur Rahman,11.710526315789473,55.78947368421053,33.07017543859649,8.0,BOWL,Bangladesh
Nahid Rana,3.442982456140351,55.87719298245614,24.95614035087719,6.0,BOWL,Bangladesh
Najmul Hossain Shanto,74.78070175438596,46.8421052631579,43.596491228070164,8.0,BAT,Bangladesh
Nangeyalia Kharote,29.035087719298247,70.87719298245614,31.754385964912277,6.0,BOWL,Afghanistan
Naseem Shah,23.903508771929822,73.68421052631578,29.561403508771928,7.5,BOWL,Pakistan
Nasum Ahmed,44.912280701754376,55.08771929824561,33.94736842105263,7.0,BOWL,Bangladesh
Nathan Ellis,32.36842105263158,50.526315789473685,38.33333333333333,7.0,BOWL,Australia
Nathan Smith,31.57894736842105,29.385964912280702,49.29824561403508,6.0,BOWL,New Zealand
Naveed Zadran,16.49122807017544,27.017543859649123,24.95614035087719,6.0,BOWL,Afghanistan
Noor Ahmad,14.95614035087719,35.614035087719294,28.245614035087716,7.0,BOWL,Afghanistan
Philip Salt,71.40350877192981,44.3859649122807,55.964912280701746,7.5,WK,England
Rachin Ravindra,85.96491228070172,46.66666666666667,44.91228070175438,8.0,BAT,New Zealand
Rahmanullah Gurbaz,79.69298245614034,44.3859649122807,81.40350877192982,8.5,WK,Afghanistan
Rahmat Shah,56.44736842105262,48.24561403508772,34.82456140350877,7.5,BAT,Afghanistan
Rashid-Khan,51.40350877192982,72.80701754385964,43.157894736842096,9.0,BOWL,Afghanistan
Rassie van der-Dussen,77.10526315789473,48.771929824561404,54.12280701754385,8.0,BAT,South Africa
Ravindra Jadeja,57.06140350877193,67.01754385964912,64.21052631578947,8.0,ALL,India
Rishabh Pant,69.25438596491227,44.3859649122807,78.0701754385965,7.0,WK,India
Rishad- Hossain,44.78070175438596,39.29824561403509,39.210526315789465,6.5,ALL,Bangladesh
Rohit Sharma,93.859649122807,48.7719298245614,61.578947368421055,9.0,BAT,India
Saqib Mahmood,9.780701754385964,56.84210526315788,30.877192982456137,7.5,BOWL,England
Saud Shakeel,55.39473684210526,49.12280701754386,52.368421052631575,7.0,BAT,Pakistan
Sean Abbott,42.23684210526315,47.01754385964912,59.3859649122807,7.5,BOWL,Australia
Sediqullah Atal,50.78947368421053,44.3859649122807,49.29824561403508,6.5,BAT,Afghanistan
Shaheen Afridi,41.271929824561404,67.89473684210526,41.84210526315789,9.0,BOWL,Pakistan
Shreyas Iyer,89.69298245614034,41.228070175438596,55.0,8.0,BAT,India
Shubman Gill,92.76315789473685,39.473684210526315,68.59649122807016,8.5,BAT,India
Soumya Sarkar,55.263157894736835,36.8421052631579,59.82456140350877,7.0,BAT,Bangladesh
Spencer Johnson,13.289473684210524,32.280701754385966,24.95614035087719,7.0,BOWL,Australia
Steven Smith,78.42105263157893,41.40350877192982,57.63157894736841,8.5,BAT,Australia
Tabraiz Shamsi,9.122807017543858,49.64912280701754,27.807017543859647,6.5,BOWL,South Africa
Tanveer Sangha,3.442982456140351,36.75438596491228,24.95614035087719,6.0,BOWL,Australia
Tanzid Hasan,58.55263157894736,44.3859649122807,51.92982456140351,7.0,BAT,Bangladesh
Tanzim Sakib,38.201754385964904,55.78947368421052,30.21929824561403,7.0,BOWL,Bangladesh
Taskin Ahmed,21.535087719298243,63.33333333333333,28.684210526315788,8.5,BOWL,Bangladesh
Tawhid Hridoy,64.82456140350877,40.526315789473685,45.35087719298245,7.5,BAT,Bangladesh
Tayyab Tahir,40.307017543859644,44.3859649122807,49.29824561403508,6.5,BAT,Pakistan
Temba Bavuma,72.80701754385964,41.578947368421055,60.263157894736835,8.0,BAT,South Africa
Tom Banton,54.73684210526316,44.3859649122807,51.49122807017544,6.5,BAT,England
Tom Latham,68.37719298245612,44.3859649122807,94.73684210526316,7.5,WK,New Zealand
Tony de Zorzi,72.45614035087719,44.3859649122807,24.95614035087719,6.5,BAT,South Africa
Travis Head,96.14035087719296,55.614035087719294,36.578947368421055,9.0,BAT,Australia
Tristan Stubbs,67.41228070175438,39.29824561403509,42.71929824561403,7.5,BAT,South Africa
Virat Kohli,85.65789473684211,48.59649122807017,65.0877192982456,9.0,BAT,India
Washington Sundar,48.94736842105262,62.631578947368425,40.526315789473685,6.0,ALL,India
Wiaan Mulder,35.78947368421053,43.50877192982456,40.96491228070175,7.0,ALL,South Africa
Will Young,84.07894736842105,44.3859649122807,61.14035087719297,7.0,BAT,New Zealand
William O'Rourke,6.4035087719298245,66.3157894736842,24.95614035087719,7.0,BOWL,New Zealand
