Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team
Aaron Hardie,43.319327731092436,60.33613445378152,38.36134453781513,6.5,ALL,Australia
Abrar Ahmed,37.5,64.70588235294117,67.77310924369748,7.0,BOWL,Pakistan
Adam Zampa,38.27731092436975,62.52100840336134,41.30252100840336,9.0,BOWL,Australia
Adil Rashid,36.596638655462186,61.84873949579832,56.008403361344534,8.5,BOWL,England
Agha Salman,84.83193277310924,47.731092436974784,61.89075630252101,8.0,ALL,Pakistan
Aiden Markram,77.47899159663865,45.378151260504204,63.57142857142857,8.0,ALL,South Africa
Alex Carey,72.31092436974791,44.28571428571429,81.97478991596638,7.0,WK,Australia
Arshdeep Singh,30.0,61.84873949579831,32.05882352941177,7.5,BOWL,India
Axar Patel,59.53781512605042,66.5546218487395,49.705882352941174,8.0,ALL,India
Azmatullah Omarzai,71.72268907563024,60.504201680672274,39.20168067226891,8.0,ALL,Afghanistan
Babar Azam,79.03361344537815,44.28571428571429,42.98319327731092,8.5,BAT,Pakistan
Ben Duckett,93.10924369747899,44.28571428571429,37.94117647058823,8.0,BAT,England
Ben Dwarshuis,23.445378151260503,53.27731092436974,25.546218487394956,6.5,BOWL,Australia
Bilal Sami,2.899159663865546,27.73109243697479,52.01680672268907,5.5,BOWL,Afghanistan
Brydon Carse,38.65546218487395,41.84873949579832,45.92436974789916,7.0,BOWL,England
Cooper Connolly,10.000000000000002,40.67226890756303,25.546218487394956,5.5,ALL,Australia
Corbin Bosch,40.69327731092437,30.16806722689076,25.546218487394956,6.5,ALL,South Africa
Daryl Mitchell,88.52941176470588,47.89915966386555,71.55462184873949,8.5,BAT,New Zealand
David Miller,69.5798319327731,44.28571428571429,68.61344537815125,7.5,BAT,South Africa
Devon Conway,80.92436974789916,44.28571428571429,55.168067226890756,8.0,WK,New Zealand
Faheem Ashraf,37.3109243697479,36.30252100840336,36.68067226890756,6.5,ALL,Pakistan
Fakhar Zaman,87.6890756302521,44.28571428571429,58.949579831932766,8.0,BAT,Pakistan
Fareed Ahmed Malik,21.428571428571427,53.613445378151255,25.546218487394956,7.0,BOWL,Afghanistan
FazalHaq Farooqi,6.428571428571429,54.45378151260505,31.638655462184875,8.0,BOWL,Afghanistan
Glenn Maxwell,65.54621848739497,51.76470588235294,53.4873949579832,8.5,ALL,Australia
Glenn Phillips,91.84873949579833,35.63025210084034,66.9327731092437,8.0,ALL,New Zealand
Gulbadin Naib,44.2436974789916,46.38655462184874,45.50420168067227,7.0,BOWL,Afghanistan
Gus Atkinson,55.67226890756302,46.89075630252101,30.3781512605042,7.0,BOWL,England
Hardik Pandya,63.739495798319325,62.352941176470594,61.470588235294116,8.5,ALL,India
Haris Rauf,47.77310924369748,65.88235294117646,37.10084033613445,8.0,BOWL,Pakistan
Harry Brook,71.26050420168067,44.28571428571429,45.08403361344537,7.0,BAT,England
Harshit Rana,44.66386554621849,74.62184873949579,25.546218487394956,6.5,BOWL,India
Hashmatullah Shahidi,50.84033613445378,44.28571428571429,44.66386554621849,7.5,BAT,Afghanistan
Heinrich Klaasen,93.9075630252101,44.28571428571429,86.72268907563026,9.0,WK,South Africa
Ibrahim Zadran,71.47058823529412,44.28571428571429,48.865546218487395,8.0,BAT,Afghanistan
Ikram Alikhil,35.54621848739497,44.28571428571429,93.78151260504201,6.5,WK,Afghanistan
Jacob Duffy,5.4411764705882355,49.579831932773104,40.46218487394958,6.5,BOWL,New Zealand
Jaker Ali Anik,70.58823529411765,44.28571428571429,58.319327731092436,6.5,WK,Bangladesh
Jamie Overton,26.470588235294116,56.30252100840336,43.403361344537814,6.5,ALL,England
Jamie Smith,57.39495798319328,44.28571428571429,75.25210084033613,6.0,WK,England
Joe Root,68.73949579831934,30.756302521008404,50.54621848739495,8.0,ALL,England
Jofra Archer,45.75630252100841,42.18487394957983,35.84033613445378,8.0,BOWL,England
Jos Buttler,68.15126050420169,44.28571428571429,94.45378151260505,8.5,WK,England
Josh Inglis,73.02521008403362,44.28571428571429,90.50420168067228,7.5,WK,Australia
