Match Number,Team Name,Player Name
1,IND,Arshdeep Singh
1,IND,Axar Patel
1,IND,Hardik Pandya
1,IND,Harshit Rana
1,IND,Kuldeep Yadav
1,IND,Lokesh Rahul
1,IND,Mohammed Shami
1,IND,Ravindra Jadeja
1,IND,Rishabh Pant
1,IND,Rohit Sharma
1,IND,Shreyas Iyer
1,IND,Shubman Gill
1,IND,Varun Chakravarthy
1,IND,Virat Kohli
1,IND,Washington Sundar
1,AUS,Aaron Hardie
1,AUS,Adam Zampa
1,AUS,Alex Carey
1,AUS,Ben Dwarshuis
1,AUS,Cooper Connolly
1,AUS,Glenn Maxwell
1,AUS,Jake Fraser-McGurk
1,AUS,Josh Inglis
1,AUS,Marnus Labuschagne
1,AUS,Matthew Short
1,AUS,Nathan Ellis
1,AUS,Sean Abbott
1,AUS,Spencer Johnson
1,AUS,Tanveer Sangha
1,AUS,Travis Head
1,AUS,Steven Smith
