player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average
V Kohli,Batter,13784,91.70381212161533,15031,7,681,671,577,577,0,357,220,41,India,1969.142857142857
KC Sangakkara,Batter,11618,79.39046057127238,14634,0,0,0,333,333,0,168,165,26,Sri Lanka,
RG Sharma,Batter,10646,90.35817348497709,11782,11,538,614,577,577,0,357,220,23,India,967.8181818181819
MS Dhoni,Batter,10274,84.97932175351531,12090,1,32,38,576,576,0,356,220,20,India,10274.0
AB de Villiers,Batter,9435,99.44139966273187,9488,7,205,201,472,472,0,291,181,26,South Africa,1347.857142857143
TM Dilshan,Batter,9212,85.47833348798368,10777,97,4197,5141,333,333,0,168,165,24,Sri Lanka,94.96907216494846
LRPL Taylor,Batter,8126,80.93625498007968,10040,0,35,45,438,438,0,228,210,16,New Zealand,
DPMD Jayawardene,Batter,8040,78.57701329163409,10232,2,63,72,333,333,0,168,165,12,Sri Lanka,4020.0
HM Amla,Batter,7834,86.48708324133364,9058,0,0,0,472,472,0,291,181,16,South Africa,
Tamim Iqbal,Batter,7648,76.6409459865718,9979,0,13,7,346,346,0,134,212,13,Bangladesh,
MJ Guptill,Batter,7125,85.24766690595837,8358,4,100,116,444,444,0,231,213,22,New Zealand,1781.25
Mushfiqur Rahim,Batter,7094,78.94502559537058,8986,0,0,0,346,346,0,134,212,9,Bangladesh,
MJ Clarke,Batter,6988,76.83342495876856,9095,56,1868,2264,347,347,0,242,105,10,Australia,124.78571428571429
RT Ponting,Batter,6979,80.6075306075306,8658,0,0,0,347,347,0,242,105,17,Australia,
EJG Morgan,Batter,6953,89.51976310029612,7767,0,0,0,519,519,0,295,224,12,England,
Yuvraj Singh,Batter,6868,85.45477168097548,8037,99,3438,4028,577,577,0,357,220,20,India,69.37373737373737
S Dhawan,Batter,6733,89.4869750132908,7524,0,0,0,577,577,0,357,220,11,India,
KS Williamson,Batter,6699,80.39121564862594,8333,41,1323,1494,444,444,0,231,213,13,New Zealand,163.390243902439
Q de Kock,Batter,6661,94.83200455580865,7024,0,0,0,472,472,0,291,181,19,South Africa,
DA Warner,Batter,6623,94.96702036134212,6974,0,8,6,545,545,0,381,164,16,Australia,
WU Tharanga,Batter,6482,73.28434143583947,8845,0,0,0,512,512,0,237,275,11,Sri Lanka,
CH Gayle,Batter,6433,86.53483992467044,7434,112,3569,4517,427,427,0,166,261,13,West Indies,57.4375
SR Tendulkar,Batter,6432,84.55370053897727,7607,31,1420,1545,335,335,0,198,137,16,India,207.48387096774192
Babar Azam,Batter,5659,86.88776293566713,6513,0,0,0,469,469,0,227,242,13,Pakistan,
AD Mathews,Batter,5646,81.4248629939429,6934,137,4068,5205,511,511,0,237,274,9,Sri Lanka,41.21167883211679
SPD Smith,Batter,5549,85.38236651792583,6499,29,985,1081,545,545,0,381,164,11,Australia,191.3448275862069
F du Plessis,Batter,5445,86.59351145038168,6288,2,191,197,472,472,0,291,181,9,South Africa,2722.5
SR Watson,Batter,5357,90.04874768868717,5949,162,4780,5690,346,346,0,242,104,15,Australia,33.0679012345679
IR Bell,Batter,5289,75.58953837358868,6997,6,89,92,306,306,0,158,148,9,England,881.5
AJ Finch,Batter,5188,84.56397718011411,6135,5,259,287,540,540,0,377,163,7,Australia,1037.6
BB McCullum,Batter,5157,94.50247388675096,5457,0,0,0,246,246,0,130,116,5,New Zealand,
BRM Taylor,Batter,5130,74.03665752633857,6929,4,279,262,264,264,0,61,203,4,Zimbabwe,1282.5
Mahmudullah,Batter,5127,75.45253863134658,6795,83,3605,4086,346,346,0,134,212,4,Bangladesh,61.7710843373494
MEK Hussey,Batter,5076,84.4311377245509,6012,4,237,249,347,347,0,242,105,11,Australia,1269.0
JC Buttler,Batter,5018,114.8283752860412,4370,0,0,0,518,518,0,294,224,13,England,
SD Hope,Batter,4989,78.1484962406015,6384,0,0,0,430,430,0,166,264,9,West Indies,
G Gambhir,Batter,4981,83.95415472779369,5933,0,13,8,332,332,0,195,137,11,India,
Younis Khan,Batter,4777,74.51255654344095,6411,1,217,222,293,293,0,149,144,10,Pakistan,4777.0
Misbah-ul-Haq,Batter,4752,72.56069628950985,6549,0,30,24,259,259,0,134,125,7,Pakistan,
DA Miller,Batter,4466,100.5629362756136,4441,0,0,0,471,471,0,290,181,4,South Africa,
ST Jayasuriya,Batter,4402,92.13059857681039,4778,105,3194,4004,332,332,0,167,165,14,Sri Lanka,41.923809523809524
AC Gilchrist,Batter,4355,102.2300469483568,4260,0,0,0,347,347,0,242,105,13,Australia,
SC Williams,Batter,4274,87.17111972261881,4903,76,3491,4159,274,274,0,66,208,7,Zimbabwe,56.23684210526316
JJ Roy,Batter,4237,102.93974732750245,4116,0,0,0,519,519,0,295,224,12,England,
MN Samuels,Batter,4205,74.37212592854617,5654,66,2952,3692,427,427,0,166,261,12,West Indies,63.71212121212121
KP Pietersen,Batter,4202,84.20841683366733,4990,8,368,403,309,309,0,159,150,9,England,525.25
TWM Latham,Batter,4019,83.3990454451131,4819,0,0,0,444,444,0,231,213,8,New Zealand,
L Wolvaardt,Batter,3992,71.20941848019979,5606,0,0,0,456,456,0,284,172,6,South Africa,
H Masakadza,Batter,3955,70.04959263195182,5646,22,1174,1249,277,277,0,66,211,3,Zimbabwe,179.77272727272728
ML Hayden,Batter,3939,79.47941888619854,4956,0,0,0,347,347,0,242,105,5,Australia,
TT Beaumont,Batter,3936,74.65857359635811,5272,0,0,0,497,497,0,278,219,10,England,
Shahid Afridi,Batter,3913,131.00100435219284,2987,259,8118,10433,293,293,0,149,144,19,Pakistan,15.108108108108109
BKG Mendis,Batter,3838,85.00553709856035,4515,0,28,20,512,512,0,237,275,6,Sri Lanka,
S Chanderpaul,Batter,3804,67.86797502230152,5605,0,20,26,241,241,0,99,142,7,West Indies,
HH Gibbs,Batter,3766,84.93459630130808,4434,0,0,0,277,277,0,176,101,9,South Africa,
AJ Strauss,Batter,3729,78.80388841927304,4732,0,3,6,310,310,0,160,150,7,England,
RR Sarwan,Batter,3717,72.27299241687732,5143,16,393,383,241,241,0,99,142,6,West Indies,232.3125
JM Bairstow,Batter,3671,99.70124932102118,3682,0,0,0,516,516,0,292,224,11,England,
LD Chandimal,Batter,3657,72.10173501577287,5072,0,0,0,512,512,0,237,275,6,Sri Lanka,
GJ Maxwell,Batter,3655,120.58726492906631,3031,78,3441,3812,545,545,0,381,164,11,Australia,46.85897435897436
R Dravid,Batter,3650,71.10851353984025,5133,0,0,0,339,339,0,201,138,5,India,
A Symonds,Batter,3589,88.68297504324191,4047,83,2945,3476,346,346,0,242,104,16,Australia,43.24096385542169
MM Lanning,Batter,3555,89.20953575909661,3985,1,44,45,534,534,0,374,160,11,Australia,3555.0
S Mandhana,Batter,3526,87.99600698777141,4007,1,36,24,558,558,0,343,215,11,India,3526.0
Sikandar Raza,Batter,3445,86.14653663415854,3999,81,3244,3965,277,277,0,66,211,10,Zimbabwe,42.53086419753087
Fakhar Zaman,Batter,3434,92.28701961838216,3721,1,112,135,463,463,0,226,237,9,Pakistan,3434.0
PR Stirling,Batter,3338,85.34901559703401,3911,26,1227,1485,164,164,0,60,104,7,Ireland,128.3846153846154
E Chigumbura,Batter,3266,77.11924439197166,4235,88,3551,3753,277,277,0,66,211,6,Zimbabwe,37.11363636363637
SW Bates,Batter,3245,75.85320243104255,4278,25,1098,1326,420,420,0,219,201,6,New Zealand,129.8
AN Cook,Batter,3204,75.60169891458234,4238,0,0,0,298,298,0,155,143,7,England,
SB Styris,Batter,3184,80.2015113350126,3970,76,2544,3265,246,246,0,130,116,6,New Zealand,41.89473684210526
SR Taylor,Batter,3173,69.9977939554379,4533,84,2577,3458,414,414,0,164,250,13,West Indies,37.773809523809526
HDRL Thirimanne,Batter,3164,71.1971197119712,4444,3,94,107,479,479,0,226,253,2,Sri Lanka,1054.6666666666667
HC Knight,Batter,3158,75.10107015457788,4205,48,1020,1392,496,496,0,277,219,8,England,65.79166666666667
MDKJ Perera,Batter,3077,91.17037037037036,3375,0,0,0,512,512,0,237,275,5,Sri Lanka,
Umar Akmal,Batter,3032,83.61831218974076,3626,0,0,0,469,469,0,227,242,6,Pakistan,
GJ Bailey,Batter,3011,81.99891067538127,3672,0,0,0,540,540,0,377,163,4,Australia,
DM Bravo,Batter,3007,67.19553072625698,4475,0,0,0,423,423,0,166,257,3,West Indies,
BJ Haddin,Batter,3003,82.31907894736842,3648,0,0,0,338,338,0,235,103,3,Australia,
M Raj,Batter,2949,68.26388888888889,4320,0,0,0,564,564,0,349,215,6,India,
AM Rahane,Batter,2906,76.23294858342078,3812,0,0,0,572,572,0,354,218,5,India,
AE Satterthwaite,Batter,2895,80.01658374792703,3618,29,839,1060,420,420,0,219,201,5,New Zealand,99.82758620689656
Imam-ul-Haq,Batter,2840,81.32875143184421,3492,0,0,0,437,437,0,215,222,3,Pakistan,
T Taibu,Batter,2837,66.95775312721265,4237,0,20,25,3,3,0,0,3,3,Africa XI,
IJL Trott,Batter,2819,75.53590568060021,3732,3,174,185,220,220,0,121,99,3,England,939.6666666666666
SFM Devine,Batter,2796,87.53913587977458,3194,55,1914,2489,420,420,0,219,201,8,New Zealand,50.836363636363636
Mohammad Yousuf,Batter,2783,74.3918738305266,3741,1,0,1,291,291,0,147,144,2,Pakistan,2783.0
CR Ervine,Batter,2770,76.28752409804461,3631,0,0,0,277,277,0,66,211,6,Zimbabwe,
MR Marsh,Batter,2762,93.5320013545547,2953,57,2047,2257,545,545,0,381,164,8,Australia,48.45614035087719
KL Rahul,Batter,2761,86.36221457616516,3197,0,0,0,580,580,0,360,220,4,India,
DJ Bravo,Batter,2760,78.72219053051911,3506,193,5330,6052,241,241,0,99,142,9,West Indies,14.300518134715025
AC Jayangani,Batter,2760,77.98813224074598,3539,34,1295,1421,509,509,0,236,273,8,Sri Lanka,81.17647058823529
AJ Healy,Batter,2759,95.23645150155333,2897,0,0,0,534,534,0,374,160,8,Australia,
Kamran Akmal,Batter,2746,81.38707765263781,3374,0,0,0,448,448,0,217,231,4,Pakistan,
RS Bopara,Batter,2689,76.39204545454545,3520,41,1546,1858,287,287,0,152,135,5,England,65.58536585365853
WTS Porterfield,Batter,2670,67.3902069661787,3962,0,0,0,164,164,0,60,104,5,Ireland,
TM Head,Batter,2645,102.20247295208655,2588,25,1062,1117,545,545,0,381,164,7,Australia,105.8
SE Marsh,Batter,2622,79.02350813743219,3318,0,0,0,537,537,0,374,163,4,Australia,
MV Boucher,Batter,2617,88.3823032759203,2961,0,0,0,276,276,0,175,101,2,South Africa,
H Kaur,Batter,2590,78.43731072077529,3302,23,1001,1168,564,564,0,349,215,4,India,112.6086956521739
Ahmed Shehzad,Batter,2555,70.52166712669059,3623,2,140,116,464,464,0,226,238,6,Pakistan,1277.5
L Lee,Batter,2516,82.65440210249672,3044,2,56,86,461,461,0,286,175,6,South Africa,1258.0
A Balbirnie,Batter,2438,74.21613394216135,3285,1,31,24,164,164,0,60,104,4,Ireland,2438.0
BL Mooney,Batter,2433,84.71448467966573,2872,0,0,0,532,532,0,372,160,4,Australia,
SC Ganguly,Batter,2409,70.25371828521435,3429,22,864,1015,338,338,0,200,138,5,India,109.5
SS Iyer,Batter,2396,98.03600654664486,2444,0,39,39,522,522,0,316,206,4,India,
HE van der Dussen,Batter,2388,85.10334996436208,2806,1,3,6,416,416,0,261,155,3,South Africa,2388.0
AD Hales,Batter,2330,93.83809907370116,2483,0,0,0,519,519,0,295,224,5,England,
Shubman Gill,Batter,2328,99.02169289663972,2351,0,25,18,491,491,0,294,197,4,India,
Abdul Razzaq,Batter,2327,86.53774637411678,2689,110,3694,4518,293,293,0,149,144,9,Pakistan,21.154545454545456
HK Matthews,Batter,2327,75.16149870801033,3096,83,2210,3025,414,414,0,164,250,10,West Indies,28.03614457831325
Mohammad Ashraful,Batter,2301,66.4069264069264,3465,8,358,404,198,198,0,71,127,5,Bangladesh,287.625
RD Berrington,Batter,2292,74.36729396495781,3082,15,647,762,101,101,0,54,47,4,Scotland,152.8
Sarfraz Ahmed,Batter,2289,85.6341189674523,2673,0,15,12,464,464,0,226,238,5,Pakistan,
KJ Coetzer,Batter,2280,80.67940552016985,2826,1,132,169,101,101,0,54,47,3,Scotland,2280.0
Mohammad Rizwan,Batter,2254,87.36434108527132,2580,0,0,0,469,469,0,227,242,1,Pakistan,
Imrul Kayes,Batter,2242,68.6046511627907,3268,0,0,0,346,346,0,134,212,4,Bangladesh,
DR Martyn,Batter,2239,75.3872053872054,2970,1,78,90,347,347,0,242,105,5,Australia,2239.0
M du Preez,Batter,2223,69.59924859110833,3194,1,22,18,461,461,0,286,175,7,South Africa,2223.0
M Kapp,Batter,2195,85.30897784687136,2573,133,3154,4729,461,461,0,286,175,8,South Africa,16.50375939849624
Salman Butt,Batter,2186,74.55661664392906,2932,0,90,72,293,293,0,149,144,5,Pakistan,
Liton Das,Batter,2178,84.3205574912892,2583,0,0,0,327,327,0,129,198,4,Bangladesh,
AK Markram,Batter,2171,95.47053649956024,2274,19,895,972,448,448,0,278,170,4,South Africa,114.26315789473684
SP Fleming,Batter,2133,70.25691699604744,3036,0,0,0,246,246,0,130,116,5,New Zealand,
V Sibanda,Batter,2125,61.29218344389963,3467,4,267,276,277,277,0,66,211,2,Zimbabwe,531.25
HM Nicholls,Batter,2116,78.9846957820082,2679,0,0,0,442,442,0,231,211,2,New Zealand,
S Luus,Batter,2080,65.2856246076585,3186,84,2006,2630,461,461,0,286,175,3,South Africa,24.761904761904763
D Ramdin,Batter,2072,78.60394537177542,2636,0,0,0,423,423,0,166,257,1,West Indies,
AE Jones,Batter,2071,83.50806451612904,2480,0,0,0,497,497,0,278,219,4,England,
CL White,Batter,2053,79.4812233836624,2583,11,331,318,525,525,0,367,158,3,Australia,186.63636363636363
CS MacLeod,Batter,2015,78.40466926070039,2570,8,635,774,101,101,0,54,47,5,Scotland,251.875
ME Trescothick,Batter,1997,80.5241935483871,2480,2,149,155,310,310,0,160,150,4,England,998.5
KJ O'Brien,Batter,1990,92.51510925151094,2151,60,2221,2392,164,164,0,60,104,4,Ireland,33.166666666666664
CJ Chibhabha,Batter,1987,63.48242811501598,3130,30,1379,1417,277,277,0,66,211,1,Zimbabwe,66.23333333333333
AT Carey,Batter,1978,87.63845813026141,2257,0,0,0,525,525,0,367,158,2,Australia,
MS Atapattu,Batter,1978,66.82432432432432,2960,0,0,0,333,333,0,168,165,3,Sri Lanka,
H Klaasen,Batter,1977,115.0087260034904,1719,0,33,30,433,433,0,270,163,7,South Africa,
RL Haynes,Batter,1966,79.11468812877264,2485,2,34,24,529,529,0,369,160,5,Australia,983.0
LMP Simmons,Batter,1958,71.4337832907698,2741,1,172,163,217,217,0,86,131,2,West Indies,1958.0
Inzamam-ul-Haq,Batter,1916,77.19580983078163,2482,0,0,0,293,293,0,149,144,3,Pakistan,
E Lewis,Batter,1903,85.75935105903561,2219,0,0,0,430,430,0,166,264,4,West Indies,
BC Lara,Batter,1878,76.49694501018331,2455,0,0,0,241,241,0,99,142,1,West Indies,
DJG Sammy,Batter,1853,96.2097611630322,1926,87,3842,4891,191,191,0,74,117,5,West Indies,21.298850574712645
EC Joyce,Batter,1845,69.20480120030007,2666,0,0,0,164,164,0,60,104,5,Ireland,
V Aravind,Batter,1843,67.2382342210872,2741,0,0,0,77,77,0,26,51,2,United Arab Emirates,
N Pooran,Batter,1829,95.6089911134344,1913,6,174,178,392,392,0,156,236,1,West Indies,304.8333333333333
KIC Asalanka,Batter,1810,86.60287081339713,2090,16,388,486,416,416,0,209,207,3,Sri Lanka,113.125
P Nissanka,Batter,1810,84.10780669144981,2152,0,0,0,416,416,0,209,207,2,Sri Lanka,
MG Erasmus,Batter,1810,78.42287694974004,2308,34,921,1286,55,55,0,26,29,5,Namibia,53.23529411764706
Azhar Ali,Batter,1806,72.88135593220339,2478,4,262,264,469,469,0,227,242,1,Pakistan,451.5
MS Wade,Batter,1792,80.50314465408806,2226,0,0,0,545,545,0,381,164,3,Australia,
MD Patel,Batter,1792,80.03573023671282,2239,0,0,0,64,64,0,30,34,6,United States of America,
DB Sharma,Batter,1770,63.829787234042556,2773,127,3198,4414,564,564,0,349,215,8,India,13.937007874015748
M Labuschagne,Batter,1764,82.8169014084507,2130,6,284,254,462,462,0,327,135,2,Australia,294.0
HH Pandya,Batter,1762,107.70171149144254,1636,81,2919,3218,577,577,0,357,220,4,India,21.753086419753085
Yousuf Youhana,Batter,1740,78.80434782608695,2208,0,1,1,293,293,0,149,144,4,Pakistan,
DM de Silva,Batter,1710,76.544315129812,2234,45,1674,1951,510,510,0,236,274,2,Sri Lanka,38.0
Haris Sohail,Batter,1709,85.02487562189054,2010,13,593,613,435,435,0,215,220,2,Pakistan,131.46153846153845
NJ O'Brien,Batter,1692,70.67669172932331,2394,0,0,0,164,164,0,60,104,2,Ireland,
MP O'Dowd,Batter,1682,68.90618598934863,2441,1,129,127,90,90,0,29,61,4,Netherlands,1682.0
DN Wyatt,Batter,1680,90.76175040518638,1851,14,447,537,497,497,0,278,219,4,England,120.0
DJS Dottin,Batter,1679,81.11111111111111,2070,53,1209,1496,414,414,0,164,250,4,West Indies,31.67924528301887
HG Munsey,Batter,1675,85.15505846466701,1967,0,0,0,100,100,0,53,47,1,Scotland,
MH Cross,Batter,1675,67.9788961038961,2464,0,0,0,101,101,0,54,47,3,Scotland,
DJ Hussey,Batter,1672,87.44769874476988,1912,19,694,791,268,268,0,184,84,1,Australia,88.0
SJ Taylor,Batter,1651,85.45548654244305,1932,0,0,0,489,489,0,271,218,6,England,
AT Rayudu,Batter,1637,76.38824078394774,2143,3,128,124,580,580,0,360,220,3,India,545.6666666666666
RK Paudel,Batter,1629,73.24640287769785,2224,10,238,346,65,65,0,33,32,5,Nepal,162.9
KD Karthik,Batter,1624,71.38461538461539,2275,0,0,0,543,543,0,332,211,1,India,
HT Tector,Batter,1622,83.99792853443812,1931,2,149,148,132,132,0,48,84,0,Ireland,811.0
N Dickwella,Batter,1604,91.2400455062571,1758,0,0,0,512,512,0,237,275,1,Sri Lanka,
Sidra Ameen,Batter,1595,63.04347826086957,2530,0,0,0,428,428,0,210,218,5,Pakistan,
OA Shah,Batter,1579,80.4381049414162,1963,7,184,199,293,293,0,153,140,2,England,225.57142857142858
NJ Astle,Batter,1571,75.60153994225216,2078,8,346,404,246,246,0,130,116,5,New Zealand,196.375
Aaron Jones,Batter,1556,70.98540145985402,2192,0,181,189,64,64,0,30,34,2,United States of America,
T Bavuma,Batter,1548,87.26042841037204,1774,0,22,37,448,448,0,278,170,2,South Africa,
JDP Oram,Batter,1546,87.74120317820659,1762,132,3561,4880,246,246,0,130,116,4,New Zealand,11.712121212121213
J Charles,Batter,1544,83.91304347826087,1840,0,12,7,423,423,0,166,257,3,West Indies,
UT Khawaja,Batter,1539,82.5201072386059,1865,0,0,0,544,544,0,380,164,3,Australia,
CK Kapugedera,Batter,1505,69.77283263792305,2157,2,226,271,512,512,0,237,275,1,Sri Lanka,752.5
SA Edwards,Batter,1504,90.65702230259193,1659,0,0,0,89,89,0,28,61,3,Netherlands,
Yasir Hameed,Batter,1459,65.57303370786516,2225,0,0,0,292,292,0,148,144,4,Pakistan,
DL Vettori,Batter,1450,83.0945558739255,1745,208,5322,7996,246,246,0,130,116,8,New Zealand,6.971153846153846
NE Bolton,Batter,1443,69.74383760270662,2069,2,37,30,534,534,0,374,160,6,Australia,721.5
CL Tryon,Batter,1440,107.14285714285714,1344,40,1445,1914,461,461,0,286,175,4,South Africa,36.0
PG Raut,Batter,1436,61.1063829787234,2350,0,0,0,558,558,0,343,215,3,India,
