player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,economy_rate,average
JPR Lamsam,Bowler,16,53.333333333333336,30,0,27,12,261,0,261,158,103,0,India,2.25,
BJ Diamanti,Bowler,26,113.04347826086956,23,0,25,12,242,0,242,168,74,0,Australia,2.0833333333333335,
LC Romero,Bowler,1,14.285714285714285,7,1,52,26,68,0,68,40,28,0,New Zealand,2.0,52.0
K Christie,Bowler,0,0.0,3,0,18,9,62,0,62,12,50,0,Papua New Guinea,2.0,
MA Carberry,Bowler,114,62.98342541436463,181,0,12,6,27,0,27,10,17,0,Ireland,2.0,
LP van Troost,Bowler,112,68.29268292682927,164,1,82,43,257,0,257,164,93,0,South Africa,1.9069767441860466,82.0
J Blades,Bowler,0,0.0,0,0,73,39,205,0,205,75,130,0,Bangladesh,1.8717948717948718,
Sanjida Akter Meghla,Bowler,0,0.0,0,0,33,19,244,0,244,101,143,0,West Indies,1.736842105263158,
IA Nicolson,Bowler,0,0.0,3,1,74,44,158,0,158,94,64,0,South Africa,1.6818181818181819,74.0
MS Kashyap,Bowler,8,53.333333333333336,15,0,30,18,362,0,362,255,107,0,Australia,1.6666666666666667,
EP Thompson,Bowler,0,0.0,0,0,43,26,238,0,238,141,97,0,India,1.6538461538461537,
AW Mathieson,Bowler,0,0.0,0,1,40,25,42,0,42,24,18,0,England,1.6,40.0
Aman Ali,Bowler,0,0.0,2,0,22,14,262,0,262,132,130,0,Sri Lanka,1.5714285714285714,
TF van Woerkom,Bowler,0,0.0,0,1,75,48,355,0,355,184,171,0,England,1.5625,75.0
BDH Stevens,Bowler,1,20.0,5,0,28,18,35,0,35,6,29,0,United Arab Emirates,1.5555555555555556,
S Snater,Bowler,21,161.53846153846155,13,1,125,81,377,0,377,198,179,0,England,1.5432098765432098,125.0
Afzaal Haider,Bowler,0,0.0,10,2,123,81,243,0,243,124,119,0,Pakistan,1.5185185185185186,61.5
Sanjida Islam,Bowler,93,41.150442477876105,226,0,12,8,452,0,452,219,233,0,Pakistan,1.5,
Zain Abbas,Bowler,26,47.27272727272727,55,1,56,38,243,0,243,124,119,0,Pakistan,1.4736842105263157,56.0
Usman Rafiq,Bowler,28,66.66666666666666,42,0,47,32,198,0,198,43,155,0,Zimbabwe,1.46875,
Ravi Bishnoi,Bowler,4,200.0,2,1,73,53,330,0,330,203,127,0,South Africa,1.3773584905660377,73.0
KMC Bandara,Bowler,1,33.33333333333333,3,1,84,61,9,0,9,8,1,0,England,1.3770491803278688,84.0
BM Anusha,Bowler,2,33.33333333333333,6,0,11,8,237,0,237,83,154,0,Bangladesh,1.375,
Asif Iqbal (1),Bowler,8,100.0,8,0,33,24,1,0,1,1,0,0,Hong Kong,1.375,
S Hector,Bowler,0,0.0,0,0,19,14,457,0,457,273,184,0,India,1.3571428571428572,
AM Samad,Bowler,226,59.16230366492147,382,2,93,69,287,0,287,152,135,0,England,1.3478260869565217,46.5
AH Thomson,Bowler,16,43.24324324324324,37,0,47,35,7,0,7,6,1,0,Thailand,1.3428571428571427,
JL Ontong,Bowler,97,71.32352941176471,136,1,24,18,240,0,240,99,141,0,West Indies,1.3333333333333333,24.0
