Player,Team,Batting Form,Bowling Form,Role
A Zampa,Australia,27.109856454194578,73.39535624943117,Bowler
AAP Atkinson,England,36.84103985441767,51.209588996743314,Bowler
AK Markram,South Africa,81.61147870416094,30.167102465350503,All-rounder
AM Hardie,Australia,35.925133599805484,43.59340431889356,All-rounder
AR Patel,India,41.00687851088429,38.82509141036724,All-rounder
AT Carey,Australia,69.28867491389413,43.5848814210451,keeper
AU Rashid,England,24.95046747338101,54.62648722251218,Bowler
Abrar Ahmed,Pakistan,31.808096551511227,70.61364737136691,Bowler
Agha Salman,Pakistan,53.3264161513174,50.78477057291599,All-rounder
Arshdeep Singh,India,32.122401634758496,73.38149920215749,Bowler
Azmatullah Omarzai,Afghanistan,73.27202734225645,56.77043473811271,All-rounder
BA Carse,England,36.806125177931456,47.176431236863,Bowler
BM Duckett,England,90.12430320740134,43.5848814210451,Batter
Babar Azam,Pakistan,74.65698731864526,43.5848814210451,Batter
DA Miller,South Africa,77.26700711846695,43.5848814210451,Batter
DJ Mitchell,New Zealand,93.81390025778092,34.39856123343512,Batsman
DP Conway,New Zealand,83.757123023659,43.5848814210451,keeper
Faheem Ashraf,Pakistan,17.82307257439081,33.56492339462606,All-rounder
Fakhar Zaman,Pakistan,80.2118511417733,43.5848814210451,Batter
Fazalhaq Farooqi,Afghanistan,10.96922513175128,51.76104977274092,Bowler
GD Phillips,New Zealand,70.74674525959075,35.90688979779527,All-rounder
GJ Maxwell,Australia,81.27954108155673,57.96313472078632,All-rounder
Gulbadin Naib,Afghanistan,36.940974014724624,38.40710874006663,Bowler
H Klaasen,South Africa,95.58476697694324,43.5848814210451,keeper
HC Brook,England,75.59374932028562,43.5848814210451,Batter
HE van der Dussen,South Africa,74.4233185223374,43.5848814210451,Batter
HH Pandya,India,51.6366177058737,55.02588141032535,All-rounder
Haris Rauf,Pakistan,29.76254069048713,76.1132258463492,Bowler
Hashmatullah Shahidi,Afghanistan,55.244535433239456,43.5848814210451,Batter
Ibrahim Zadran,Afghanistan,77.21630454809797,43.5848814210451,Batter
J Overton,England,30.85344049213349,42.29627452078087,All-rounder
JC Archer,England,35.503035775045376,34.68868303541792,Bowler
JC Buttler,England,66.19001099830164,43.5848814210451,keeper
JE Root,England,53.49903319679045,31.352782292305672,Batter
JL Smith,England,55.15596454956301,43.5848814210451,keeper
JP Inglis,Australia,66.67912654940952,43.5848814210451,keeper
K Rabada,South Africa,29.440930159551822,74.08139267452528,Bowler
KA Maharaj,South Africa,24.26370681076772,78.87967277169659,Bowler
KL Rahul,India,75.77386640208267,43.5848814210451,keeper
KS Williamson,New Zealand,72.40665686572868,43.5848814210451,Batter
