Player,Team,Batting Form,Bowling Form,Role
A Nortje,South Africa,22.72880169778486,25.121157230105663,Bowler
A Zampa,Australia,24.86033618988943,72.6670866892634,Bowler
AK Markram,South Africa,75.97904238331013,28.553850024824506,All-rounder
AM Hardie,Australia,32.79080607197373,40.79140067266631,Bowler
AR Patel,India,36.7084869497451,36.10703176492642,Batter
AT Carey,Australia,62.30368723611866,43.25107815510686,Batter
AU Rashid,England,22.235993231909664,50.74419575586291,All-rounder
Abrar Ahmed,Pakistan,31.929223774728413,67.06103232484213,Bowler
Agha Salman,Pakistan,48.42232987988112,48.15738041744334,All-rounder
Arshdeep Singh,India,30.717664558116184,71.45829235422393,Bowler
Azmatullah Omarzai,Afghanistan,67.94954745320635,52.77912457286332,All-rounder
BM Duckett,England,87.1359093413416,43.25107815510686,Batter
Babar Azam,Pakistan,68.85869145010446,43.25107815510686,Batter
DA Miller,South Africa,71.73792245467303,43.25107815510686,Batter
DJ Mitchell,New Zealand,91.39104630944364,33.80304635550942,All-rounder
DP Conway,New Zealand,80.8659531919698,43.25107815510686,Batter
Faheem Ashraf,Pakistan,16.06533149924386,31.266280872775795,Bowler
Fakhar Zaman,Pakistan,75.69666502358194,43.25107815510686,Batter
Fazalhaq Farooqi,Afghanistan,10.93099352143006,47.87273856934136,Bowler
GD Phillips,New Zealand,65.52957853674103,33.35697711261686,All-rounder
GJ Maxwell,Australia,76.76930356200438,54.00185746258349,All-rounder
Gulbadin Naib,Afghanistan,35.472492565182115,36.6201644182136,Bowler
H Klaasen,South Africa,94.19251403188584,43.25107815510686,Batter
HC Brook,England,69.02139677467228,43.25107815510686,Batter
HE van der Dussen,South Africa,67.92089490731468,43.25107815510686,Batter
HH Pandya,India,48.899281839006086,51.53102677009348,All-rounder
Haris Rauf,Pakistan,28.827158355113777,74.4636961955416,Bowler
Hashmatullah Shahidi,Afghanistan,49.73411986385094,43.25107815510686,Batter
Ibrahim Zadran,Afghanistan,71.36519573225016,43.25107815510686,Batter
JC Buttler,England,60.9536225608617,43.25107815510686,Batter
JE Root,England,47.65668785991454,30.525942747525107,Batter
JJ Bumrah,India,18.91297009790451,78.66300015111457,Bowler
JR Hazlewood,Australia,19.93560367552368,66.11055677774516,Bowler
Jaker Ali,Bangladesh,71.2299513012612,43.25107815510686,Batter
K Rabada,South Africa,26.998710819325737,72.65696263185168,Bowler
KA Maharaj,South Africa,21.80374422402328,78.03861107347379,Bowler
KL Rahul,India,69.58157220027513,43.25107815510686,Batter
KS Williamson,New Zealand,66.50466686311587,43.25107815510686,Batter
Kamran Ghulam,Pakistan,55.66350437388299,40.16987185439516,Batter
Khushdil Shah,Pakistan,27.362300089432868,26.830935211494417,Batter
Kuldeep Yadav,India,12.23877664491872,68.77287032006129,Bowler
L Ngidi,South Africa,15.02577057998278,63.73479149794839,Bowler
LH Ferguson,New Zealand,28.662984948003416,62.61257559337844,Bowler
LS Livingstone,England,62.25573012782542,33.083463207087725,All-rounder
M Jansen,South Africa,56.68957498780596,71.42305141730701,All-rounder
M Labuschagne,Australia,71.33370631182099,40.55901207072971,All-rounder
MA Starc,Australia,16.38425455685924,64.73127530317522,Bowler
MA Wood,England,31.101198740352707,46.04292025970488,Bowler
MG Bracewell,New Zealand,41.69802457950908,49.35823720517783,All-rounder
MJ Henry,New Zealand,16.155790786767756,71.92024910111994,Bowler
MJ Santner,New Zealand,34.00507459746504,60.875632591932494,All-rounder
MP Stoinis,Australia,40.47209372118354,38.5093569640044,All-rounder
MR Marsh,Australia,91.99045610771756,32.7918675338674,All-rounder
MS Chapman,New Zealand,65.37979369289883,43.25107815510686,Batter
Mahmudullah,Bangladesh,81.55117510135628,38.63427899076388,All-rounder
Mehidy Hasan Miraz,Bangladesh,55.39343380898259,45.6503739181214,All-rounder
Mohammad Hasnain,Pakistan,30.86903609233344,43.90348686772504,Bowler
Mohammad Nabi,Afghanistan,53.48408575825604,49.77227653484736,All-rounder
Mohammad Rizwan,Pakistan,72.93938384167183,43.25107815510686,Batter
Mohammed Shami,India,12.890786345729078,77.97600101741278,Bowler
Mushfiqur Rahim,Bangladesh,50.87978309434163,43.25107815510686,Batter
Mustafizur Rahman,Bangladesh,12.355040719512523,54.11433222616593,Bowler
NG Smith,New Zealand,22.433127961644164,41.37480046662036,Bowler
NT Ellis,Australia,57.41468010937695,62.87328414317437,Bowler
Nahid Rana,Bangladesh,11.953619808253508,42.94667086895237,Bowler
Najmul Hossain Shanto,Bangladesh,72.39126110462189,38.8112660397908,Batter
Naseem Shah,Pakistan,22.228198432081648,60.78120613937846,Bowler
Nasum Ahmed,Bangladesh,25.0629960779522,36.45833164233885,Bowler
PD Salt,England,67.23515613444962,43.25107815510686,Batter
PJ Cummins,Australia,49.48905969350149,64.4829784672723,Bowler
R Ravindra,New Zealand,84.21087853927031,42.58044203484784,All-rounder
RA Jadeja,India,42.65984012082027,75.3350094523356,All-rounder
RG Sharma,India,87.08757183343477,39.41744834623954,Batter
RR Pant,India,18.015365741156785,43.25107815510686,Batter
Rahmanullah Gurbaz,Afghanistan,75.27578834503358,43.25107815510686,Batter
Rahmat Shah,Afghanistan,40.07219902298251,41.43512943456573,Batter
Rashid Khan,Afghanistan,28.46764094177427,67.07030456831211,All-rounder
Rishad Hossain,Bangladesh,31.856519383846926,35.176557889018504,Bowler
SPD Smith,Australia,72.87015436111628,43.25107815510686,Batter
SS Iyer,India,88.09404019129676,43.25107815510686,Batter
Saud Shakeel,Pakistan,60.93012193811704,43.25107815510686,Batter
Shaheen Shah Afridi,Pakistan,30.54045440437428,71.21111333787667,Bowler
Shubman Gill,India,86.1394833328892,36.196888372268994,Batter
Soumya Sarkar,Bangladesh,60.9569469559376,28.87494062602853,Batter
T Bavuma,South Africa,54.456082555424175,43.25107815510686,Batter
T Shamsi,South Africa,15.992721146361792,47.673237349409455,Bowler
TM Head,Australia,94.0875885746745,52.74480344098149,All-rounder
TWM Latham,New Zealand,32.407628700194216,43.25107815510686,Batter
Tanzid Hasan,Bangladesh,54.50626143090948,43.25107815510686,Batter
Tanzim Hasan Sakib,Bangladesh,34.753584391327294,44.110155357552856,Bowler
Taskin Ahmed,Bangladesh,14.100763253286017,58.01967975323095,Bowler
Tayyab Tahir,Pakistan,43.42871093480292,43.25107815510686,Batter
Towhid Hridoy,Bangladesh,53.35698363846552,39.87657337632415,Batter
V Kohli,India,82.47253282364534,41.33855344873739,Batter
W O'Rourke,New Zealand,10.929464847144205,47.336379693411175,Bowler
WA Young,New Zealand,75.18676015841456,43.25107815510686,Batter
Washington Sundar,India,37.11503398353416,55.46184028187222,Bowler
