Player,Team,Runs_x,Wkts,SR_x,Econ,Mat_x,Role
A Nortje,South Africa,352.0,308.0,72.54166666666667,6.260000000000001,198,Bowler
A Zampa,Australia,4313.0,2185.0,65.905,5.266842105263158,1102,Bowler
AAP Atkinson,England,252.0,44.0,108.33,6.1075,36,Bowler
AK Markram,South Africa,28730.0,289.0,89.82941176470588,5.910666666666667,850,All-rounder
AM Hardie,Australia,536.0,28.0,79.6675,5.4225,44,Bowler
AR Patel,India,4390.0,200.0,83.76100000000001,4.713,230,Batter
AT Carey,Australia,19958.0,0.0,81.68882352941176,,799,Batter
AU Rashid,England,7040.0,1440.0,81.01357142857142,5.671,980,All-rounder
Abrar Ahmed,Pakistan,81.0,36.0,176.665,4.296666666666667,15,Bowler
Agha Salman,Pakistan,8096.0,165.0,90.578,5.659,341,All-rounder
Arshdeep Singh,India,111.0,36.0,97.19,5.476666666666667,24,Bowler
Azmatullah Omarzai,Afghanistan,12698.0,420.0,83.49357142857143,5.027142857142858,504,All-rounder
BA Carse,England,1414.0,161.0,86.89666666666666,6.772857142857143,140,Bowler
BM Duckett,England,3654.0,0.0,81.35166666666666,,90,Batter
Babar Azam,Pakistan,48330.0,0.0,88.4738888888889,,918,Batter
DA Miller,South Africa,26964.0,0.0,109.55055555555556,,918,Batter
DJ Mitchell,New Zealand,24108.0,182.0,92.64071428571428,5.727272727272728,616,All-rounder
DP Conway,New Zealand,9984.0,0.0,83.8425,,264,Batter
Faheem Ashraf,Pakistan,372.0,42.0,82.382,5.3933333333333335,72,Bowler
Fakhar Zaman,Pakistan,24270.0,0.0,94.30866666666668,,555,Batter
Fazalhaq Farooqi,Afghanistan,315.0,750.0,28.492,5.790666666666667,585,Bowler
GD Phillips,New Zealand,11364.0,168.0,97.23727272727272,6.282222222222223,456,All-rounder
GJ Maxwell,Australia,12876.0,300.0,141.64833333333334,4.934166666666666,420,All-rounder
Gulbadin Naib,Afghanistan,3003.0,154.0,91.68636363636364,6.337000000000001,231,Bowler
H Klaasen,South Africa,29296.0,0.0,114.046875,6.665,720,Batter
HC Brook,England,5800.0,0.0,84.27,,176,Batter
HE van der Dussen,South Africa,32946.0,17.0,83.16176470588235,3.0,884,Batter
HH Pandya,India,10692.0,360.0,114.555,5.34909090909091,408,All-rounder
Haris Rauf,Pakistan,1332.0,1512.0,77.887,5.516666666666667,846,Bowler
Hashmatullah Shahidi,Afghanistan,21008.0,0.0,70.419375,,768,Batter
Ibrahim Zadran,Afghanistan,15818.0,0.0,79.84181818181818,,352,Batter
J Overton,England,64.0,2.0,76.19,4.25,4,Batter
JC Archer,England,712.0,264.0,89.54857142857144,5.1225000000000005,128,Bowler
JC Buttler,England,17823.0,0.0,97.02153846153846,,546,Batter
JE Root,England,6777.0,45.0,76.58888888888889,8.831666666666667,270,Batter
JG Bethell,England,872.0,20.0,81.765,8.067499999999999,36,Batter
JJ Bumrah,India,648.0,414.0,40.86,4.908888888888889,279,Bowler
JL Smith,England,266.0,0.0,91.615,,14,Batter
JP Inglis,Australia,4689.0,0.0,91.66888888888889,,234,Batter
JR Hazlewood,Australia,1598.0,1122.0,76.66538461538461,4.815882352941176,799,Bowler
Jaker Ali,Bangladesh,302.0,0.0,118.815,,10,Batter
K Rabada,South Africa,1386.0,506.0,98.83333333333331,5.109090909090909,319,Bowler
KA Maharaj,South Africa,3195.0,795.0,82.86769230769231,4.722,615,Bowler
KL Rahul,India,33388.0,0.0,82.09705882352941,,884,Batter
KS Williamson,New Zealand,6624.0,0.0,75.22666666666666,,153,Batter
Kamran Ghulam,Pakistan,840.0,4.0,97.59333333333336,4.0,44,Batter
Khushdil Shah,Pakistan,1284.0,12.0,91.696,7.17,66,Batter
Kuldeep Yadav,India,1976.0,1444.0,55.90923076923077,5.217368421052631,988,Bowler
L Ngidi,South Africa,1377.0,1003.0,66.4325,5.757058823529412,714,Bowler
LH Ferguson,New Zealand,540.0,288.0,57.34,6.134444444444444,261,Bowler
